n0,green,green,0,0,2.39794,2.39794,3
n1,red,red,1.19304,0.712806,2.20412,2.20412,3
n2,green,green,88,0,1,1,0
n3,green,green,54.8671,68.8012,1,1,0
n4,green,green,-1.53123,2.31971,2.39794,2.39794,3
n5,green,green,-2.79985,1.34833,2.39794,2.39794,3
n6,green,green,-3.39049,-0.30515,2.39794,2.39794,3
n7,red,red,-19.5818,85.7937,1,1,0
n8,green,green,-1.54491,-3.61451,2.39794,2.39794,3
n9,green,green,0.559655,-4.13154,2.5563,2.5563,3
n10,green,green,2.74011,-3.43599,2.6902,2.6902,3
n11,red,red,4.31539,-1.61959,2.39794,2.39794,3
n12,green,green,4.7369,0.85962,2.6902,2.6902,3
n13,green,green,3.77352,3.29683,2.20412,2.20412,3
n14,red,red,1.60689,4.94549,2.20412,2.20412,3
n15,green,green,-1.19772,5.24756,2.20412,2.20412,3
n16,red,red,-3.84164,4.01804,2.39794,2.39794,3
n17,green,green,-5.52362,1.52442,2.39794,2.39794,3
n18,green,green,-5.68376,-1.56862,2.6902,2.6902,3
n19,green,green,48,0,1.95424,1.95424,2
n20,green,green,-1.38301,-6.05936,3,3,3
n21,green,green,1.96803,-6.05697,2.39794,2.39794,3
n22,green,green,4.90893,-4.2888,2.20412,2.20412,3
n23,green,green,6.55794,-1.19009,2.20412,2.20412,3
n24,red,red,6.37426,2.3923,2.5563,2.5563,3
n25,green,green,4.3325,5.43278,2.5563,2.5563,3
n26,green,green,0.951231,7.02227,2.39794,2.39794,3
n27,green,green,-2.83819,6.64027,2.5563,2.5563,3
n28,green,green,-5.94944,4.32252,2.5563,2.5563,3
n29,green,green,-7.45395,0.670868,2.39794,2.39794,3
n30,green,green,-49.1121,4.66682,2.20412,2.20412,2
n31,green,green,49.8199,4.2403,2.20412,2.20412,2
n32,red,red,-0.352712,-7.85374,2.39794,2.39794,3
n33,green,green,3.78316,-7.03028,2.5563,2.5563,3
n34,green,green,6.95654,-4.15634,2.20412,2.20412,3
n35,red,red,8.22192,2.02361e-08,2.5563,2.5563,3
n36,green,green,7.15822,4.27684,2.20412,2.20412,3
n37,green,green,48.3866,12.5989,1.95424,1.95424,2
n38,green,green,-34.8915,-35.8131,2.39794,2.39794,2
n39,green,green,-4.78126,7.24329,2.20412,2.20412,3
n40,green,green,-7.91916,3.81367,2.5563,2.5563,3
n41,green,green,-8.86297,-0.797682,2.90849,2.90849,3
n42,green,green,-7.28654,-5.29398,2.90849,2.90849,3
n43,green,green,-79.2853,38.1818,1,1,0
n44,red,red,1.23744,-9.13518,3,3,3
n45,green,green,5.81266,-7.28885,2.5563,2.5563,3
n46,green,green,74,0,1.60206,1.60206,1
n47,green,green,31.7124,36.0323,1.95424,1.95424,2
n48,green,green,47.051,-14.8319,2.20412,2.20412,2
n49,red,red,67.9659,16.7521,1.60206,1.60206,1
n50,green,green,-2.18673,9.58069,2.39794,2.39794,3
n51,green,green,-6.8587,7.17364,2.39794,2.39794,3
n52,green,green,-9.66054,2.66614,2.5563,2.5563,3
n53,red,red,-48.3654,9.72444,2.20412,2.20412,2
n54,red,red,30.9209,41.8079,1.95424,1.95424,2
n55,red,red,-2.29346,-10.0483,2.80618,2.80618,3
n56,green,green,3.21378,-9.89099,2.39794,2.39794,3
n57,green,green,7.90156,-6.90339,2.5563,2.5563,3
n58,red,red,6.60493,51.5788,1.95424,1.95424,2
n59,red,red,9.99425,3.7509,2.80618,2.80618,3
n60,green,green,6.71188,8.41643,2.5563,2.5563,3
n61,green,green,-10.534,48.8778,1.95424,1.95424,2
n62,green,green,-4.30086,10.0624,2.20412,2.20412,3
n63,green,green,-17.8971,44.5387,2.20412,2.20412,2
n64,green,green,-21.6098,42.8604,1.95424,1.95424,2
n65,green,green,61.9819,32.5306,1.60206,1.60206,1
n66,green,green,-6.21988,-9.42271,2.90849,2.90849,3
n67,green,green,-25.1667,40.8734,1.95424,1.95424,2
n68,green,green,52.3958,46.4186,1.60206,1.60206,1
n69,green,green,9.91011,-5.92101,3,3,3
n70,green,green,11.6276,5.72364e-08,2.39794,2.39794,3
n71,green,green,10.0527,6.00621,2.6902,2.6902,3
n72,green,green,9.62939,73.3708,1.95424,1.95424,1
n73,green,green,-0.53273,11.8621,2.80618,2.80618,3
n74,green,green,-6.58606,9.97745,3,3,3
n75,green,green,-29.7317,40.1999,1.95424,1.95424,2
n76,green,green,-12.0669,-1.08604,2.80618,2.80618,3
n77,green,green,-9.86603,-7.16809,2.20412,2.20412,3
n78,green,green,39.7645,57.6089,1.60206,1.60206,1
n79,green,green,1.65811,-12.2407,2.5563,2.5563,3
n80,green,green,7.75021,-9.71846,2.80618,2.80618,3
n81,green,green,11.7103,-4.39494,2.80618,2.80618,3
n82,green,green,12.3826,2.2471,2.39794,2.39794,3
n83,green,green,-34.6539,33.2131,2.20412,2.20412,2
n84,green,green,3.93606,12.1139,2.39794,2.39794,3
n85,green,green,-2.85115,12.4917,2.39794,2.39794,3
n86,green,green,-8.90648,9.31545,2.20412,2.20412,3
n87,green,green,-12.4957,3.44858,2.6902,2.6902,3
n88,red,red,-12.5673,-3.46835,2.5563,2.5563,3
n89,green,green,-9.06049,-9.47653,2.6902,2.6902,3
n90,red,red,-38.9018,31.411,1.95424,1.95424,2
n91,red,red,4.09678,-12.6086,2.90849,2.90849,3
n92,red,red,49.793,14.9885,1.95424,1.95424,2
n93,green,green,13.187,-2.39308,2.39794,2.39794,3
n94,green,green,24.8223,65.4511,1.60206,1.60206,1
n95,green,green,8.4456,10.5904,2.6902,2.6902,3
n96,green,green,1.82783,13.4936,2.6902,2.6902,3
n97,green,green,9.40186,77.4313,1.60206,1.60206,1
n98,green,green,-11.1304,8.08669,2.20412,2.20412,3
